Programmes,URL,Duration,ECTS
Architecture,http://ftn.uns.ac.rs/n879835302/architecture,"Duration (year/sem)
4 / 8","Total ECTS
240"
Biomedical Engineering,http://ftn.uns.ac.rs/1797176794/biomedical-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Civil Engineering,http://ftn.uns.ac.rs/642689306/civil-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Clean Energy Technologies,http://ftn.uns.ac.rs/1062782234/clean-energy-technologies,"Duration (year/sem)
4 / 8","Total ECTS
240"
Computing and Control Engineering,http://ftn.uns.ac.rs/n1649562982/computing-and-control-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Disaster Risk Management and Fire Safety,http://ftn.uns.ac.rs/530431994/disaster-risk-management-and-fire-safety,"Duration (year/sem)
4 / 8","Total ECTS
240"
Energy and Process Engineering,http://ftn.uns.ac.rs/n511902214/energy-and-process-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Engineering Animation,http://ftn.uns.ac.rs/2028806618/engineering-animation,"Duration (year/sem)
4 / 8","Total ECTS
240"
Engineering Management,http://ftn.uns.ac.rs/n2066202342/engineering-management,"Duration (year/sem)
4 / 8","Total ECTS
240"
Environmental Engineering,http://ftn.uns.ac.rs/n1614333894/environmental-engineering,"Duration (year/sem)
4 / 8","Total ECTS
242"
Geodesy and Geomatics,http://ftn.uns.ac.rs/n1623431046/geodesy-and-geomatics,"Duration (year/sem)
4 / 8","Total ECTS
240"
Graphic Engineering and Design,http://ftn.uns.ac.rs/n326892678/graphic-engineering-and-design,"Duration (year/sem)
4 / 8","Total ECTS
240"
Industrial Engineering,http://ftn.uns.ac.rs/257825466/industrial-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Information Engineering,http://ftn.uns.ac.rs/436655994/information-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Information Systems Engineering,http://ftn.uns.ac.rs/n153274342/information-systems-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Measurement and Control Engineering,http://ftn.uns.ac.rs/842439578/measurement-and-control-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Mechanization and Construction Engineering,http://ftn.uns.ac.rs/1812125594/mechanization-and-construction-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Mechatronics,http://ftn.uns.ac.rs/1612271290/mechatronics,"Duration (year/sem)
4 / 8","Total ECTS
240"
Postal Traffic and Telecommunications,http://ftn.uns.ac.rs/n1790576070/postal-traffic-and-telecommunications,"Duration (year/sem)
4 / 8","Total ECTS
240"
Power Software Engineering,http://ftn.uns.ac.rs/n648309510/power-software-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
"Power, Electronic and Telecommunication Engineering",http://ftn.uns.ac.rs/674464826/power--electronic-and-telecommunication-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Production Engineering,http://ftn.uns.ac.rs/778992570/production-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
Safety at Work,http://ftn.uns.ac.rs/701530522/safety-at-work,"Duration (year/sem)
4 / 8","Total ECTS
240"
"Scene Architecture, Technique and Design",http://ftn.uns.ac.rs/n231670150/scene-architecture--technique-and-design,"Duration (year/sem)
4 / 8","Total ECTS
240"
Software Engineering and Information Technologies,http://ftn.uns.ac.rs/n1782412678/software-engineering-and-information-technologies,"Duration (year/sem)
4 / 8","Total ECTS
240"
Software Engineering and Information Technologies - Loznica,http://ftn.uns.ac.rs/n556398598/software-engineering-and-information-technologies---loznica,"Duration (year/sem)
4 / 8","Total ECTS
240"
Technical Mechanics and Technical Design,http://ftn.uns.ac.rs/1459037274/technical-mechanics-and-technical-design,"Duration (year/sem)
4 / 8","Total ECTS
240"
Traffic and Transport Engineering,http://ftn.uns.ac.rs/n607228774/traffic-and-transport-engineering,"Duration (year/sem)
4 / 8","Total ECTS
240"
